suite	phase	run_index	rc	duration_s	jobs_count	desc_nonempty	desc_all	salary_nonempty	company_known	pass_jobs_ge_1	metrics_json_present	warning_collision_count	config	jobs_file	metrics_file	log_file
noproxy	warmup	1	0	577	63	63	1	37	63	1	1	0	boards/linkedin/config/pilot.async.noproxy.yaml	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_warmup_run_1_jobs.json	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_warmup_run_1_metrics.json	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_warmup_run_1.log
noproxy	measured	1	0	564	62	62	1	38	62	1	1	0	boards/linkedin/config/pilot.async.noproxy.yaml	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_1_jobs.json	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_1_metrics.json	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_1.log
noproxy	measured	2	0	1013	60	60	1	33	60	1	1	0	boards/linkedin/config/pilot.async.noproxy.yaml	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_2_jobs.json	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_2_metrics.json	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_2.log
noproxy	measured	3	0	931	61	61	1	38	61	1	1	0	boards/linkedin/config/pilot.async.noproxy.yaml	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_3_jobs.json	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_3_metrics.json	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_3.log
noproxy	measured	4	0	566	62	62	1	38	62	1	1	0	boards/linkedin/config/pilot.async.noproxy.yaml	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_4_jobs.json	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_4_metrics.json	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_4.log
noproxy	measured	5	0	551	60	60	1	40	60	1	1	0	boards/linkedin/config/pilot.async.noproxy.yaml	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_5_jobs.json	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_5_metrics.json	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_5.log
noproxy	measured	6	0	930	61	61	1	37	61	1	1	0	boards/linkedin/config/pilot.async.noproxy.yaml	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_6_jobs.json	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_6_metrics.json	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_6.log
noproxy	measured	7	0	566	59	59	1	36	59	1	1	0	boards/linkedin/config/pilot.async.noproxy.yaml	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_7_jobs.json	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_7_metrics.json	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_7.log
noproxy	measured	8	0	921	60	60	1	39	60	1	1	0	boards/linkedin/config/pilot.async.noproxy.yaml	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_8_jobs.json	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_8_metrics.json	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_8.log
noproxy	measured	9	0	934	62	62	1	38	62	1	1	0	boards/linkedin/config/pilot.async.noproxy.yaml	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_9_jobs.json	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_9_metrics.json	docs/reliability/artifacts/linkedin_detail_queue_hardening_24x7_pilot/20260210_042331/noproxy_measured_run_9.log
